policy,question,case_id,case_hash,case_seed,source_count,scenario,complete,verifier_all_ok,world_match,cleared_count,sources_total,clear_rate,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,move_distance_m,n_measures,n_switches,n_clear_attempts,parameter_sha256,metrics_path,ledger_error_s,accepted
v1_frozen,q3,paper_q3_n10_s950000,7a6593237b58b86cee5e80b0c287c99eb5b7499d3b9928bccbd24346edd6983e,950000,10,random,True,True,True,10,10,1.0,470.7612312514273,4707.612312514273,2967.6123125142735,1425.0,265.0,50.0,14838.06156257137,285,265,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950000/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n10_s950001,6e9578549d4b363915ee9bb8dd6425650dfc6221a92773b543f006d262365298,950001,10,random,True,True,True,10,10,1.0,594.1172228245355,5941.172228245355,4046.172228245356,1555.0,290.0,50.0,20230.861141226775,311,290,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950001/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950002,356d73bee4329b5e0251a177ef17d08322738d1e81e22652d55eaec8779b034d,950002,10,random,True,True,True,10,10,1.0,412.97234142973366,4129.723414297337,2472.7234142973366,1355.0,252.0,50.0,12363.617071486684,271,252,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950002/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n10_s950003,229d17a7d1155ef74d5350cca718704f1e82937d3892f4d4fa08afc23210214e,950003,10,random,True,True,True,10,10,1.0,648.4255286111845,6484.255286111846,4585.255286111847,1555.0,291.0,53.0,22926.27643055924,311,291,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950003/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n10_s950004,326bcd24e7f64c7809ccd9d768ebbeb9702a2d46f3e10b6c910be5b0d8f31100,950004,10,random,True,True,True,10,10,1.0,535.7283177494903,5357.283177494903,3741.2831774949036,1320.0,246.0,50.0,18706.41588747452,264,246,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950004/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950005,eae2437cb774d21be431a70fed8ad9d1c4b05daebb9dd84cdf650b32ac6ef41e,950005,10,random,True,True,True,10,10,1.0,566.9174184483645,5669.174184483645,3724.1741844836456,1595.0,297.0,53.0,18620.870922418228,319,297,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950005/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n10_s950006,ee598aa4e45f83eb49bbd22e99e53f7bdca975ce996fcfebeb487715a1c740f6,950006,10,random,True,True,True,10,10,1.0,540.5684419034271,5405.684419034271,3579.6844190342717,1495.0,278.0,53.0,17898.42209517136,299,278,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950006/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950007,06845e5f5cdd3dc83914ce6eab8170da7bc7fba4883082077a2224930e16c02c,950007,10,random,True,True,True,10,10,1.0,487.9934097193858,4879.934097193858,3001.934097193858,1540.0,288.0,50.0,15009.670485969293,308,288,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950007/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n10_s950008,ce87a58f99931fc3e322fa2a4c739a578b017b9e8110c4a08da99aa85a45564f,950008,10,random,True,True,True,10,10,1.0,562.4111233389624,5624.111233389624,3581.1112333896262,1680.0,313.0,50.0,17905.55616694813,336,313,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950008/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n10_s950009,62b906d64de55e8992ae3428e6fae4826c5952809819c29180cd8018bb388392,950009,10,random,True,True,True,10,10,1.0,523.4488223258551,5234.4882232585505,3316.488223258551,1575.0,293.0,50.0,16582.441116292757,315,293,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950009/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950010,3c36f46d77a6680c9f78d237e8037a2ae89c1b7712f3520176c96586843e2d45,950010,10,random,True,True,True,10,10,1.0,470.3480397683202,4703.480397683202,2989.4803976832027,1400.0,261.0,53.0,14947.401988416013,280,261,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950010/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950011,b7d0f3b060ddbdb759d30e35915b640ad99008690ae5c12fe0083610e7c22776,950011,10,random,True,True,True,10,10,1.0,526.7708538512958,5267.708538512958,3444.7085385129576,1495.0,278.0,50.0,17223.54269256479,299,278,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950011/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n10_s950012,36405c985c8480d32eec098b89339bef8a994e555e103f27fa9cd9d296ca76dc,950012,10,random,True,True,True,10,10,1.0,525.2595874582446,5252.5958745824455,3616.595874582447,1335.0,251.0,50.0,18082.979372912236,267,251,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950012/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950013,c1ae6592a36d6aa84d44cae5db3d8bb24e8527207f0b97cbbbd85f58fb82ec26,950013,10,random,True,True,True,10,10,1.0,564.744253600944,5647.44253600944,3701.442536009441,1595.0,298.0,53.0,18507.2126800472,319,298,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950013/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950014,48e901e389067fd08eb9fa0d1b024a26a9dce6fcb76c63363681bd31df605234,950014,10,random,True,True,True,10,10,1.0,541.2470429343113,5412.470429343112,3538.4704293431137,1535.0,286.0,53.0,17692.352146715566,307,286,11,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950014/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950015,2b34643cecf2fe4d0f21f58d5889e7ab7338441d455ef1cbbf7ed76a3ccf8736,950015,10,random,True,True,True,10,10,1.0,526.9016526983451,5269.016526983451,3262.0165269834515,1650.0,307.0,50.0,16310.082634917257,330,307,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950015/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950016,0045370052796c531d12bdba2228a6b391e11dd5d29c8e9251fec833e6f0bd4a,950016,10,random,True,True,True,10,10,1.0,507.84716973208987,5078.471697320899,3333.4716973209,1430.0,265.0,50.0,16667.3584866045,286,265,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950016/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950017,90d473c78c19a990cce139ccc6d64dfd4353f4ff8cbfd1d2601d11267eba13f8,950017,10,random,True,True,True,10,10,1.0,638.6579594076383,6386.579594076383,4489.579594076382,1555.0,292.0,50.0,22447.897970381913,311,292,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950017/metrics.json,-9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n10_s950018,61194423301a411192a9e86f0ab54f0e46672312f0104504e3625b189cc65754,950018,10,random,True,True,True,10,10,1.0,499.5440842477013,4995.440842477013,2910.4408424770145,1715.0,320.0,50.0,14552.204212385073,343,320,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950018/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n10_s950019,84c676869373222ccda06ef4beb1b1c011ec4f7f5c62e7e851501b8989a812fc,950019,10,random,True,True,True,10,10,1.0,577.5819440376715,5775.819440376716,3845.8194403767156,1585.0,295.0,50.0,19229.09720188358,317,295,10,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n10_s950019/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950020,70903a6bfebcaa4b096857a60679307ae6d82a3c041b5aa4ae2b70a05a39aa70,950020,13,random,True,True,True,13,13,1.0,380.35603520831904,4944.628457708148,3305.628457708147,1325.0,246.0,68.0,16528.142288540737,265,246,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950020/metrics.json,-9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950021,eb5d84fdb59eaaf9c36ff84feb35cf2ded44221b5089617ef57c0ecb4d7f8e9f,950021,13,random,True,True,True,13,13,1.0,428.0738478258805,5564.960021736446,3799.9600217364464,1435.0,265.0,65.0,18999.800108682233,287,265,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950021/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950022,0d75e310c9bf1eeb0b68ee8d82ba0f1570d7caf28c78a6bf4fd90640531c6107,950022,13,random,True,True,True,13,13,1.0,490.07442540259314,6370.967530233711,4314.967530233712,1680.0,311.0,65.0,21574.837651168556,336,311,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950022/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950023,fe2eab14b6758d61a682e3f930a899279e395f680cfd064f33bf6bc6eff1f72d,950023,13,random,True,True,True,13,13,1.0,508.72381284492866,6613.409566984073,4776.409566984074,1495.0,277.0,65.0,23882.04783492037,299,277,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950023/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n13_s950024,fb69bbba3213a340a8a3e636f1f3cec6137ad3809b541867d67c46a205e9333c,950024,13,random,True,True,True,13,13,1.0,429.9013060555057,5588.716978721574,3700.7169787215744,1540.0,283.0,65.0,18503.584893607873,308,283,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950024/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950025,1ba92005a53f040c7a946c834e2f50455ebf773d06c969461550db1e8d62ed16,950025,13,random,True,True,True,13,13,1.0,399.54156999887743,5194.040409985407,3409.0404099854077,1450.0,267.0,68.0,17045.202049927037,290,267,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950025/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950026,cf57e3a436e6a22d8dd064312a321d0aaad781db2d9ea775c6db634bb6d5051d,950026,13,random,True,True,True,13,13,1.0,467.9804507785649,6083.745860121344,4030.745860121345,1680.0,308.0,65.0,20153.729300606723,336,308,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950026/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950027,a8aec3feeca6bcf07d63a6305b6d779421822d47f61de17364a0c57468a559ad,950027,13,random,True,True,True,13,13,1.0,449.00231924114905,5837.030150134938,3757.0301501349377,1700.0,315.0,65.0,18785.150750674682,340,315,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950027/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950028,9b342acbb9254d3046ce702ec0945ff7d4a70f85b4f65c0623c4396731b26cba,950028,13,random,True,True,True,13,13,1.0,392.27543241835707,5099.580621438642,3370.580621438642,1405.0,259.0,65.0,16852.90310719321,281,259,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950028/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950029,5d5188ceb7e1d95c186f04db045638fee53dfb1b16ca90f136fbd3edff28b62b,950029,13,random,True,True,True,13,13,1.0,391.1433484873453,5084.863530335489,3298.8635303354895,1450.0,268.0,68.0,16494.317651677444,290,268,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950029/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950030,63a3cc4abc74124c20e42f5c9b725b7a086fbef265531bf1f452021d430f2ef8,950030,13,random,True,True,True,13,13,1.0,401.72613220710383,5222.43971869235,3423.4397186923507,1460.0,271.0,68.0,17117.198593461748,292,271,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950030/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950031,2d7d0b4ae72b0771cc1ebb173d7ae9229ede79fa8fa5eba44a170520bd205b64,950031,13,random,True,True,True,13,13,1.0,410.97704147866955,5342.701539222704,3591.7015392227045,1420.0,263.0,68.0,17958.507696113524,284,263,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950031/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950032,c3854980d2f89ce1562e9ad4d336b997fbe6f61fa02b3d884efc641627165198,950032,13,random,True,True,True,13,13,1.0,465.54628897860226,6052.10175672183,3968.101756721831,1705.0,314.0,65.0,19840.50878360916,341,314,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950032/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n13_s950033,47f9867f34acef1d0f468c94c5d00d5598d9e9d4a693e72a14131ec98bc92b68,950033,13,random,True,True,True,13,13,1.0,466.1794150370123,6060.332395481159,4292.332395481159,1435.0,268.0,65.0,21461.661977405798,287,268,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950033/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950034,2e86e072ac9bcd83125f07ed8f3d89e6263cdd6e1530b917180a748eb1d129fc,950034,13,random,True,True,True,13,13,1.0,503.1634522204589,6541.124878865966,4471.124878865966,1690.0,312.0,68.0,22355.624394329832,338,312,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950034/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950035,d279218f230762cec25a9d297b91f0ae5b20664a90925c73aca6e67874158d17,950035,13,random,True,True,True,13,13,1.0,435.1951262414678,5657.536641139081,3726.5366411390823,1575.0,291.0,65.0,18632.683205695415,315,291,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950035/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950036,e2be9102e9fcb84235cb86f0b12741d089057c7a8a44d86aae2384c3928c705d,950036,13,random,True,True,True,13,13,1.0,488.558640081908,6351.2623210648035,4483.262321064805,1520.0,280.0,68.0,22416.31160532402,304,280,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950036/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n13_s950037,9126ccc6ae38dbcbe56346906ecf7d5d94fb5c081e339cb80c7812c7c2c2bf5a,950037,13,random,True,True,True,13,13,1.0,426.6664417187397,5546.663742343616,3710.663742343617,1495.0,276.0,65.0,18553.318711718086,299,276,13,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950037/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n13_s950038,af67676d16ad6e227ce30b70a81568a6e8bee2279d439994c35523884aba56d4,950038,13,random,True,True,True,13,13,1.0,409.8615748689534,5328.200473296394,3507.200473296394,1480.0,273.0,68.0,17536.00236648197,296,273,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950038/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n13_s950039,3817368c3c64c646e0044a6d5e6587ad06c0e561ba4819d08359e077f646224c,950039,13,random,True,True,True,13,13,1.0,485.82681687345246,6315.748619354882,4506.748619354884,1470.0,271.0,68.0,22533.743096774415,294,271,14,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n13_s950039/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950040,372a6ac63171fcb0f8d2d09d61b7c4f3e9ac70509316f5fd4e875c55cf4c373e,950040,16,random,True,True,True,16,16,1.0,330.1680865006639,5282.689384010622,3451.689384010623,1480.0,271.0,80.0,17258.446920053113,296,271,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950040/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n16_s950041,7013bc1a183c58a4b86368cf23f39a622c307704019dbf412a2ef628f617a426,950041,16,random,True,True,True,16,16,1.0,500.50334575357203,8008.053532057153,6259.053532057153,1405.0,261.0,83.0,31295.26766028577,281,261,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950041/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950042,8985a0acf9ff3752eff344987a14d37db3a53efe3207d6e80320b0cab10d7908,950042,16,random,True,True,True,16,16,1.0,427.36834764473195,6837.893562315711,5165.893562315713,1345.0,244.0,83.0,25829.46781157857,269,244,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950042/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950043,838c4ab65fb30cf0cb282ba3c6fcb53c26aecca0d6069c1704d5dc8a17057a39,950043,16,random,True,True,True,16,16,1.0,335.0852321132758,5361.363713812413,3749.363713812411,1295.0,237.0,80.0,18746.818569062052,259,237,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950043/metrics.json,-2.7284841053187847e-12,True
v1_frozen,q3,paper_q3_n16_s950044,6fcc4f216a709b6ffab49583c5f5ccfb80ba404980b873b0f64317faf928d271,950044,16,random,True,True,True,16,16,1.0,250.7467172563217,4011.947476101147,2409.947476101147,1285.0,237.0,80.0,12049.737380505734,257,237,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950044/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950045,e925988c4521667e68dd1b903d3b68dabfbf65596e8bec04f6b1ff87c188fab4,950045,16,random,True,True,True,16,16,1.0,314.9224823449706,5038.75971751953,3073.759717519529,1590.0,295.0,80.0,15368.798587597643,318,295,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950045/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950046,c0a1489ae1e8e1fe6d48a4008508b8dd1fb69b8ee626c2bd98fd3738ed3ea631,950046,16,random,True,True,True,16,16,1.0,283.19044921977934,4531.047187516469,2829.0471875164694,1370.0,252.0,80.0,14145.235937582343,274,252,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950046/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950047,036704ea64775d1dc304a02fedd2c349f6aba9c75c30bde13ee49118186d0749,950047,16,random,True,True,True,16,16,1.0,427.2227384286931,6835.56381485909,5041.56381485909,1445.0,266.0,83.0,25207.819074295454,289,266,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950047/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950048,9027b6e1c14d0444d6be56a029e91132a89953fc48a86ee6ce4ab2da3fb3aced,950048,16,random,True,True,True,16,16,1.0,354.69895318956105,5675.183251032977,4001.1832510329773,1345.0,246.0,83.0,20005.916255164888,269,246,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950048/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950049,7543e540b56e05cf2bc35a3795d8b6d6b43901365cfd23c47b21f5aaa9b9f23a,950049,16,random,True,True,True,16,16,1.0,361.5266831871367,5784.426930994187,4072.426930994189,1380.0,252.0,80.0,20362.134654970945,276,252,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950049/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950050,c48cbf90cb3e8c2933b76686b9620aa28fc6c649441dbd55321160cb9554c43a,950050,16,random,True,True,True,16,16,1.0,413.9214978984512,6622.743966375219,5008.74396637522,1295.0,233.0,86.0,25043.7198318761,259,233,18,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950050/metrics.json,9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n16_s950051,cbfbbaeb42d25c087942aa7e4f20396216e71e79a483ddb33bf23ece5db04cf4,950051,16,random,True,True,True,16,16,1.0,380.0164184008596,6080.262694413754,4135.262694413753,1575.0,290.0,80.0,20676.313472068763,315,290,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950051/metrics.json,-9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n16_s950052,7eb42ce9d4b90b14eff5f7c5e114639d05ec7d509ab13d7fb17c2e9e2f9c24d6,950052,16,random,True,True,True,16,16,1.0,394.54803704189607,6312.768592670337,4496.768592670336,1465.0,268.0,83.0,22483.842963351686,293,268,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950052/metrics.json,-9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n16_s950053,12693971ed6436a5f877251cc13c4bbccc90027455d718e8c6849d75a7b6aa7e,950053,16,random,True,True,True,16,16,1.0,326.4790722797427,5223.665156475883,3392.6651564758836,1480.0,271.0,80.0,16963.325782379416,296,271,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950053/metrics.json,0.0,True
v1_frozen,q3,paper_q3_n16_s950054,7671596cbafe749024aaaf80c4a7734c53affbd53c1bfe74bfa1054018fd6a82,950054,16,random,True,True,True,16,16,1.0,381.38919320640883,6102.227091302541,4441.227091302543,1335.0,243.0,83.0,22206.135456512722,267,243,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950054/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950055,c9c8ef5e441bf5f1a98a4a80f8a62d046fb8b3ba1641e492c447bac80a19bec9,950055,16,random,True,True,True,16,16,1.0,422.8261530870221,6765.218449392353,4806.218449392355,1585.0,291.0,83.0,24031.092246961776,317,291,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950055/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950056,2d52a8547d9db19a9d5e4f15537edb498f5796dec973f30fcbf7ed42b13c0184,950056,16,random,True,True,True,16,16,1.0,316.4887506368409,5063.8200101894545,3350.820010189453,1380.0,253.0,80.0,16754.10005094727,276,253,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950056/metrics.json,-1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950057,657aecfb851377edc3fcd073d7493c10e45163b09a3b678d80cfece86d9e6055,950057,16,random,True,True,True,16,16,1.0,348.34045203936404,5573.447232629825,3771.4472326298232,1455.0,267.0,80.0,18857.23616314912,291,267,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950057/metrics.json,-9.094947017729282e-13,True
v1_frozen,q3,paper_q3_n16_s950058,01cc62b086c8667a6c0f19e2a0705cdb9931ec4dd63b11aa18ff5d0284201924,950058,16,random,True,True,True,16,16,1.0,334.9381045433846,5359.009672694154,3520.0096726941556,1485.0,274.0,80.0,17600.04836347078,297,274,16,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950058/metrics.json,1.8189894035458565e-12,True
v1_frozen,q3,paper_q3_n16_s950059,08036235255756fff9b0c757dff29b17d197bf1ecea01afbd5848d449717befd,950059,16,random,True,True,True,16,16,1.0,392.2620802227724,6276.193283564358,4496.193283564359,1435.0,262.0,83.0,22480.966417821797,287,262,17,v1-frozen-config,runs/v1_frozen/q3/paper_q3_n16_s950059/metrics.json,9.094947017729282e-13,True
v1_frozen,q4,paper_q4_n10_s960000,921ea355b3d9146956f61f4ae430d6b93f1e70cdd84e26d3abe69cad19bef54c,960000,10,mixed,True,True,True,10,10,1.0,1435.5111036984986,14355.111036984985,9601.111036984985,3880.0,677.0,197.0,48005.55518492476,776,677,59,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960000/metrics.json,0.0,True
v1_frozen,q4,paper_q4_n10_s960001,3c2d90f667bad6974cdf0e248fab341486a301486b771273f764547f2751f8cb,960001,10,mixed,True,True,True,10,10,1.0,1383.6544286262808,13836.544286262808,9157.54428626281,3850.0,689.0,140.0,45787.72143131397,770,689,40,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960001/metrics.json,1.8189894035458565e-12,True
v1_frozen,q4,paper_q4_n10_s960002,4b89a8df99cafd241c47e55af9f95a54b1ee9ea5e16fe7130e2b7163c9f09d32,960002,10,mixed,True,True,True,10,10,1.0,1233.1977383777516,12331.977383777517,8935.97738377752,2825.0,521.0,50.0,44679.886918887605,565,521,10,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960002/metrics.json,1.8189894035458565e-12,True
v1_frozen,q4,paper_q4_n10_s960003,d5ee7b8cfe10c43ea185cc639804aae71d411b01ee1540fbc540be5e6fa22c0a,960003,10,mixed,True,True,True,10,10,1.0,1171.5313255100823,11715.313255100824,8135.313255100821,2980.0,550.0,50.0,40676.56627550411,596,550,10,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960003/metrics.json,-3.637978807091713e-12,True
v1_frozen,q4,paper_q4_n10_s960004,1f988b31cf831af5aa25ce187ed6e54272d6b1871772eaa9bb115b1b6d726bd2,960004,10,mixed,True,True,True,10,10,1.0,1393.0642727245934,13930.642727245933,9826.642727245933,3360.0,589.0,155.0,49133.21363622957,672,589,45,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960004/metrics.json,0.0,True
v1_frozen,q4,paper_q4_n10_s960005,36aded449d8bbfeb55636622cc59a5b1dfcbc8fcf60b6079d88a2a6a4db548bd,960005,10,mixed,True,True,True,10,10,1.0,1768.6353690386272,17686.353690386273,11474.35369038627,4955.0,814.0,443.0,57371.76845193094,991,814,141,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960005/metrics.json,-3.637978807091713e-12,True
v1_frozen,q4,paper_q4_n10_s960006,c7754a55042641796f5da3b168928bb8ff738fbb0d2e2e310b4d1fb86d611e47,960006,10,mixed,True,True,True,10,10,1.0,1454.7904455685061,14547.904455685062,10429.904455685066,3425.0,634.0,59.0,52149.52227842533,685,634,13,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960006/metrics.json,3.637978807091713e-12,True
v1_frozen,q4,paper_q4_n10_s960007,c5089d6ba525d50783481797dc61d8eadaf230536dbac78f493ed66526ca66f3,960007,10,mixed,True,True,True,10,10,1.0,1240.133134796074,12401.33134796074,8516.331347960742,3190.0,561.0,134.0,42581.65673980361,638,561,38,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960007/metrics.json,1.8189894035458565e-12,True
v1_frozen,q4,paper_q4_n10_s960008,a50200084bba6ca5d833b6999a3601288c4f3dd93878e69d939e923b69cc679b,960008,10,mixed,True,True,True,10,10,1.0,1494.4113523411804,14944.113523411805,10759.113523411805,3420.0,598.0,167.0,53795.567617058885,684,598,49,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960008/metrics.json,0.0,True
v1_frozen,q4,paper_q4_n10_s960009,8e49a81d41852454f8fdbe13137b9782a07dbf23b608ccb0e8f1778d9e0256a4,960009,10,mixed,True,True,True,10,10,1.0,1411.1314468986113,14111.314468986113,10070.314468986113,3295.0,573.0,173.0,50351.57234493042,659,573,51,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960009/metrics.json,0.0,True
v1_frozen,q4,paper_q4_n10_s960010,d1a4e53a0b827ae62d623b532b77ab5d10c17699e4e4d6eb7f02f22fd4ed50eb,960010,10,mixed,True,True,True,10,10,1.0,1296.4211643519714,12964.211643519713,9362.211643519715,2995.0,548.0,59.0,46811.05821759857,599,548,13,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960010/metrics.json,1.8189894035458565e-12,True
v1_frozen,q4,paper_q4_n10_s960011,766d81fe94af0b07461fadce21001d3498e149dd464251863bbf8dd6544f916c,960011,10,mixed,True,True,True,10,10,1.0,1316.0313574888064,13160.313574888063,8728.313574888063,3660.0,662.0,110.0,43641.567874440254,732,662,30,v1-frozen-config,runs/v1_frozen/q4/paper_q4_n10_s960011/metrics.json,0.0,True
